District ID,District Name,School ID,School Name,,School Year,Total,4 Year Olds Program,,Early Kindergarten,Kindergarten,TotalK,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
1364,Lincoln Academy,1066,Lincoln Academy,,2011-12,498,-,,-,-,-,-,-,-,-,-,-,-,-,114,143,129,112
1091,Lincolnville Public Schools,1289,Lincolnville Central School,,2011-12,191,-,,-,21,21,22,21,22,23,16,17,26,23,-,-,-,-
1092,Lisbon Public Schools,1872,Lisbon Community School,,2011-12,631,56,,-,97,97,107,87,95,94,95,-,-,-,-,-,-,-
1092,Lisbon Public Schools,1293,Lisbon High School,,2011-12,427,-,,-,-,-,-,-,-,-,-,-,-,-,95,117,88,127
1092,Lisbon Public Schools,1292,Philip W Sugg Middle School,,2011-12,280,-,,-,-,-,-,-,-,-,-,95,102,83,-,-,-,-
1135,Long Island Public Schools,1362,Long Island Elementary School,,2011-12,16,-,,-,1,1,3,-,6,1,5,-,-,-,-,-,-,-
1095,Machias Public Schools,1298,Machias Memorial High School,,2011-12,118,-,,-,-,-,-,-,-,-,-,-,-,-,28,19,32,39
1095,Machias Public Schools,1297,Rose M Gaffney School,,2011-12,342,31,,0,36,36,41,38,31,45,31,35,25,29,-,-,-,-
3137,Machiasport Public Schools,1812,Fort O'Brien School,,2011-12,54,5,,-,9,9,6,12,4,1,-,7,7,3,-,-,-,-
1097,Madawaska Public Schools,1301,Madawaska Elementary School,,2011-12,284,30,,7,30,37,32,29,36,42,36,42,-,-,-,-,-,-
1097,Madawaska Public Schools,1300,Madawaska Middle/High School,,2011-12,279,-,,-,-,-,-,-,-,-,-,-,42,42,41,46,50,58
3200,Maine Academy of Natural Sciences,2638,Maine Academy of Natural Sciences,,2011-12,20,-,,-,-,-,-,-,-,-,-,-,-,-,4,7,4,5
1369,Maine Central Institute,1072,Maine Central Institute,,2011-12,318,-,,-,-,-,-,-,-,-,-,-,-,-,88,76,78,76
3151,Maine Department of Education,1946,MDOE School,,2011-12,52,-,,-,-,-,-,-,-,4,3,8,2,3,9,4,11,8
1297,ME Educational Ctr for the Deaf & Hard of Hearing,1855,Governor Baxter School for the Deaf,,2011-12,-,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1295,ME Sch of Science & Mathematics,1853,ME Sch of Science & Mathematics,,2011-12,108,-,,-,-,-,-,-,-,-,-,-,-,-,15,18,42,33
1105,Medway Public Schools,1304,Medway Middle School,,2011-12,138,-,,-,-,-,-,-,-,-,33,31,43,31,-,-,-,-
1106,Milford Public Schools,1305,Dr Lewis S Libby School,,2011-12,336,31,,2,36,38,42,30,40,29,33,27,31,35,-,-,-,-
1107,Millinocket Public Schools,1306,Granite Street School,,2011-12,276,-,,-,50,50,37,35,43,30,40,41,-,-,-,-,-,-
1107,Millinocket Public Schools,1307,Millinocket Middle School,,2011-12,67,-,,-,-,-,-,-,-,-,-,-,33,34,-,-,-,-
1107,Millinocket Public Schools,1308,Stearns Jr-Sr High School,,2011-12,190,-,,-,-,-,-,-,-,-,-,-,-,-,53,44,49,44
1109,Monhegan Plt School Dept,1310,Monhegan Island School,,2011-12,2,-,,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
1292,Moosabec CSD,1847,Jonesport-Beals High School,,2011-12,58,-,,-,-,-,-,-,-,-,-,-,-,-,15,13,14,16
1112,Mount Desert Public Schools,1314,Mt Desert Elementary School,,2011-12,167,-,,-,26,26,19,19,21,24,12,13,19,14,-,-,-,-
1298,Mountain View Youth Dev Ctr,1856,Mountain View Youth Dev Ctr,,2011-12,51,-,,-,-,-,-,-,-,-,-,-,-,1,1,4,17,28
1221,MSAD 27,1573,Eagle Lake Elem/Jr High School,,2011-12,77,6,,-,10,10,14,14,9,9,6,9,-,-,-,-,-,-
1221,MSAD 27,1575,Fort Kent Community High School,,2011-12,298,-,,-,-,-,-,-,-,-,-,-,-,-,66,74,75,83
1221,MSAD 27,1574,Fort Kent Elementary School,,2011-12,520,41,,-,44,44,45,38,47,43,49,45,88,80,-,-,-,-
1221,MSAD 27,1576,St Francis Elementary School,,2011-12,27,6,,-,6,6,4,5,6,-,-,-,-,-,-,-,-,-
1221,MSAD 27,1577,Wallagrass Elementary School,,2011-12,94,11,,-,17,17,10,10,10,10,13,13,-,-,-,-,-,-
1240,MSAD 46,1650,Dexter Regional High School,,2011-12,301,-,,-,-,-,-,-,-,-,-,-,-,-,88,68,76,69
1240,MSAD 46,2605,Ridge View Community School,,2011-12,690,32,,-,72,72,81,69,64,68,78,70,71,85,-,-,-,-
1267,MSAD 76,1808,Swans Island Elementary School,,2011-12,39,-,,-,4,4,4,3,6,3,4,6,7,2,-,-,-,-
1283,Mt Desert CSD,1834,Mt Desert Island High School,,2011-12,529,-,,-,-,-,-,-,-,-,-,-,-,-,130,140,138,121
1116,New Sweden Public Schools,1316,New Sweden Consolidated School,,2011-12,72,4,,-,11,11,8,11,2,8,3,7,10,8,-,-,-,-
1117,Nobleboro Public Schools,1317,Nobleboro Central School,,2011-12,130,-,,-,12,12,17,17,12,9,18,19,14,12,-,-,-,-
1124,Orrington Public Schools,1332,Center Drive School,,2011-12,407,29,,5,47,52,46,50,37,34,35,43,38,43,-,-,-,-
1125,Otis Public Schools,1333,Beech Hill School,,2011-12,81,12,,1,12,13,6,10,5,7,11,9,4,4,-,-,-,-
1127,Pembroke Public Schools,1335,Pembroke Elementary School,,2011-12,102,8,,-,4,4,9,12,9,11,11,18,10,10,-,-,-,-
1128,Penobscot Public Schools,1336,Penobscot Elementary School,,2011-12,66,-,,-,11,11,6,8,8,5,5,4,10,9,-,-,-,-
1129,Perry Public Schools,1337,Perry Elementary School,,2011-12,100,13,,-,9,9,9,14,9,10,7,14,3,12,-,-,-,-
1272,Pleasant Point,1822,Beatrice Rafferty School,,2011-12,111,-,,-,9,9,13,13,13,12,13,12,15,11,-,-,-,-
1134,Portland Public Schools,1904,Casco Bay High School,,2011-12,275,-,,-,-,-,-,-,-,-,-,-,-,-,74,73,65,63
1134,Portland Public Schools,1345,Cliff Island School,,2011-12,4,2,,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-
1134,Portland Public Schools,1357,Deering High School,,2011-12,939,-,,-,-,-,-,-,-,-,-,-,-,-,227,239,219,254
1134,Portland Public Schools,1939,East End Community School,,2011-12,441,18,,-,68,68,79,69,69,76,62,-,-,-,-,-,-,-
1134,Portland Public Schools,1347,Fred P Hall School,,2011-12,447,-,,-,73,73,72,76,77,70,79,-,-,-,-,-,-,-
1134,Portland Public Schools,1351,Harrison Lyseth Elem School,,2011-12,501,-,,-,76,76,79,92,93,74,87,-,-,-,-,-,-,-
1134,Portland Public Schools,1358,Howard C Reiche Community Sch,,2011-12,329,-,,-,61,61,79,52,51,42,44,-,-,-,-,-,-,-
1134,Portland Public Schools,1353,King Middle School,,2011-12,539,-,,-,-,-,-,-,-,-,-,173,189,177,-,-,-,-
1134,Portland Public Schools,1354,Lincoln Middle School,,2011-12,467,-,,-,-,-,-,-,-,-,-,168,144,155,-,-,-,-
1134,Portland Public Schools,1348,Longfellow School-Portland,,2011-12,392,14,,-,55,55,63,66,67,58,69,-,-,-,-,-,-,-
1134,Portland Public Schools,1355,Lyman Moore Middle School,,2011-12,506,-,,-,-,-,-,-,-,-,-,177,151,178,-,-,-,-
1134,Portland Public Schools,2626,Ocean Avenue,,2011-12,427,-,,-,95,95,67,74,66,73,52,-,-,-,-,-,-,-
1134,Portland Public Schools,1349,Peaks Island School,,2011-12,64,-,,-,12,12,14,9,8,11,10,-,-,-,-,-,-,-
