District ID,District Name,School ID,School Name,F5,School Year,Total,4 Year Olds Program,F9,Early Kindergarten,Kindergarten,Total K,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Table Name,School year (fall),School Name (group)
1133,Poland School Department,1342,Bruce M Whittier Middle School,null,2006-07,132,-,null,-,null,-,null,null,null,null,null,null,64,68,null,null,null,null,2006-2007.csv,9/1/06,Bruce M Whittier Middle School
1134,Portland Public Schools,1353,King Middle School,null,2006-07,507,-,null,-,null,-,null,null,null,null,null,178,163,166,null,null,null,null,2006-2007.csv,9/1/06,King Middle School
1134,Portland Public Schools,1354,Lincoln Middle School,null,2006-07,448,-,null,-,null,-,null,null,null,null,null,135,146,167,null,null,null,null,2006-2007.csv,9/1/06,Lincoln Middle School
1134,Portland Public Schools,1355,Lyman Moore Middle School,null,2006-07,555,-,null,-,null,-,null,null,null,null,null,165,183,207,null,null,null,null,2006-2007.csv,9/1/06,Lyman Moore Middle School
1134,Portland Public Schools,1356,Portland High School,null,2006-07,"1,061",-,null,-,null,-,null,null,null,null,null,null,null,null,205,267,283,306,2006-2007.csv,9/1/06,Portland High School
1134,Portland Public Schools,1357,Deering High School,null,2006-07,"1,237",-,null,-,null,-,null,null,null,null,null,null,null,null,304,311,324,298,2006-2007.csv,9/1/06,Deering High School
1134,Portland Public Schools,1904,Casco Bay High School,null,2006-07,167,-,null,-,null,-,null,null,null,null,null,null,null,null,86,81,null,null,2006-2007.csv,9/1/06,Casco Bay High School
1139,Raymond School Department,1365,Jordan-Small Middle School,null,2006-07,241,-,null,-,null,-,null,null,null,null,45,66,66,64,null,null,null,null,2006-2007.csv,9/1/06,Jordan-Small Middle School
1142,Richmond School Department,1370,Richmond High School,null,2006-07,185,-,null,-,null,-,null,null,null,null,null,null,null,null,55,30,49,51,2006-2007.csv,9/1/06,Richmond High School
1142,Richmond School Department,1371,Richmond Middle School,null,2006-07,115,-,null,-,null,-,null,null,null,null,null,45,29,41,null,null,null,null,2006-2007.csv,9/1/06,Richmond Middle School
1146,Saco Public Schools,1375,C K Burns School,null,2006-07,590,-,null,-,null,-,null,null,187,210,193,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,C K Burns School
1146,Saco Public Schools,1376,Saco Middle School,null,2006-07,739,-,null,-,null,-,null,null,null,null,null,246,247,246,null,null,null,null,2006-2007.csv,9/1/06,Saco Middle School
1146,Saco Public Schools,1863,Saco Transition Program,null,2006-07,18,-,null,-,null,-,null,null,null,null,null,null,null,null,3,6,5,4,2006-2007.csv,9/1/06,Saco Transition Program
1148,Sanford Public Schools,1378,Emerson School,null,2006-07,134,-,null,-,null,-,47,45,42,null,null,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Emerson School
1148,Sanford Public Schools,1379,Lafayette School,null,2006-07,116,-,null,-,null,-,43,39,34,null,null,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Lafayette School
1148,Sanford Public Schools,1381,Willard School,null,2006-07,467,-,null,-,null,-,null,null,null,142,156,169,null,null,null,null,null,null,2006-2007.csv,9/1/06,Willard School
1148,Sanford Public Schools,1382,Sanford Jr High School,null,2006-07,568,-,null,-,null,-,null,null,null,null,null,null,261,307,null,null,null,null,2006-2007.csv,9/1/06,Sanford Jr High School
1148,Sanford Public Schools,1383,Sanford High School,null,2006-07,"1,337",-,null,-,null,-,null,null,null,null,null,null,null,null,360,333,323,321,2006-2007.csv,9/1/06,Sanford High School
1149,Scarborough Public Schools,1389,Scarborough Middle School,null,2006-07,799,-,null,-,null,-,null,null,null,null,null,268,271,260,null,null,null,null,2006-2007.csv,9/1/06,Scarborough Middle School
1149,Scarborough Public Schools,1390,Scarborough High School,null,2006-07,"1,007",-,null,-,null,-,null,null,null,null,null,null,null,null,268,234,249,256,2006-2007.csv,9/1/06,Scarborough High School
