Receipt Amount,Recipient candidate,Recipient committee,City,State,Contributor name,Contributor type,Employer,Description,Date
"$1,000 ",Fredette,Leadership For Maine's Future,Wilmington,DE,Astrazeneca,Business,,,11/22/17
"$1,000 ",Fredette,Leadership For Maine's Future,Jersey City,NJ,Anheuser Busch,Business,,,8/18/14
"$1,000 ",Fredette,Leadership For Maine's Future,Wyomissing,PA,"Penn National Gaming, Inc.",Business,,,11/18/09
"$1,000 ",Fredette,Leadership For Maine's Future,Franklin Lakes,NJ,"Medco Health Solutions, Inc.",Business,,,12/28/09
"$1,000 ",Fredette,Leadership For Maine's Future,Washington,DC,Kraft Foods,Business,,,12/31/09
"$1,000 ",Fredette,Leadership For Maine's Future,Washington,DC,Pharmaceutical Research And Manufacturers Of America,Business,,,9/25/14
"$1,000 ",Fredette,Leadership For Maine's Future,Bangor,ME,Fairpoint Communications,Business,,,6/15/16
"$1,000 ",Fredette,Leadership For Maine's Future,Washington,DC,Pharmaceutical Research And Manufacturers Of America,Business,,,6/23/16
"$1,000 ",Fredette,Leadership For Maine's Future,Washington,DC,Pharmaceutical Research And Manufacturers Of America,Business,,,10/1/13
$800 ,Mason,Charting Maine's Future,South Portland,ME,Fairpoint Communications,Business,,,9/10/15
$800 ,Fredette,Leadership For Maine's Future,Bangor,ME,Fairpoint Communications,Business,,,9/16/15
$750 ,Mason,Charting Maine's Future,Jersey City,NJ,Anheuser Busch,Business,,,12/9/15
$750 ,Mason,Charting Maine's Future,Charlotte,NC,Time Warner Cable,Business,,,8/11/15
$750 ,Mason,Charting Maine's Future,Washington,DC,Pharmaceutical Research And Manufacturers Of America,Business,,,10/3/14
$750 ,Mason,Charting Maine's Future,Bangor,ME,Hollywood Casino Bangor,Business,,,9/22/16
$750 ,Fredette,Leadership For Maine's Future,Philadelphia,PA,"Cigna, PAC",Business,,,10/20/08
$750 ,Fredette,Leadership For Maine's Future,Whitehouse Station,NJ,"Merck & Co., Inc.",Business,,,7/21/14
$750 ,Fredette,Leadership For Maine's Future,Portland,ME,Drummond Woodsum & Macmahon,Business,,,9/18/17
$750 ,Fredette,Leadership For Maine's Future,Pittsfield,ME,Cianbro,Business,,CONTRIBUTION,5/16/16
$750 ,Fredette,Leadership For Maine's Future,Bangor,ME,Emera,Business,,,9/25/15
$750 ,Fredette,Leadership For Maine's Future,Hampton,NH,Unitil,Business,,,12/16/13
$750 ,Fredette,Leadership For Maine's Future,Cincinnati,OH,Anthem Blue Cross And Blue Shield,Business,,,1/6/14
$750 ,Fredette,Leadership For Maine's Future,Portland,ME,Northeast Patients Group Dba Wellness Connection Of Maine,Business,,,12/28/15
$750 ,Fredette,Leadership For Maine's Future,Whitehouse Station,NJ,"Merck & Co., Inc.",Business,,,6/17/16
$683 ,Fredette,Leadership For Maine's Future,Bangor,ME,Bangor Letter Ship & Color Copy Center,Business,,Invitations & Announcements - Fundraisers,8/29/08
$626 ,Fredette,Leadership For Maine's Future,Bangor,ME,Bangor Letter Ship & Color Copy Center,Business,,Mail house - invitations and response cards for fundraiser,1/25/10
$500 ,Mason,Charting Maine's Future,Hartford,CT,Aetna,Business,,,11/1/16
$500 ,Mason,Charting Maine's Future,Houston,TX,Waste Management,Business,,,12/1/16
$500 ,Mason,Charting Maine's Future,Augusta,ME,"Maine Automobile Dealers Assn., Inc.",Business,,,12/1/16
$500 ,Mason,Charting Maine's Future,Pittsfield,ME,Cianbro,Business,,,12/2/16
$500 ,Mason,Charting Maine's Future,Houston,TX,"Spectra Energy Transmission, Llc",Business,,,12/5/16
$500 ,Mason,Charting Maine's Future,Boston,MA,"Northern Lng, Llc",Business,,,11/16/15
$500 ,Mason,Charting Maine's Future,Augusta,ME,Mitchell Tardy,Business,,,11/17/15
$500 ,Mason,Charting Maine's Future,Washington,DC,General Motors Company PAC,Business,,,11/24/15
$500 ,Mason,Charting Maine's Future,Boston,MA,At&t,Business,,,11/25/15
$500 ,Mason,Charting Maine's Future,Portland,ME,Northeast Patients Group Dba Wellness Connection Of Maine,Business,,,12/3/15
$500 ,Mason,Charting Maine's Future,Portland,ME,Verrill Dana Llp,Business,,,12/7/15
$500 ,Mason,Charting Maine's Future,Abbott Park,IL,Abbott Laboratories Employee PAC,Business,,,12/8/15
$500 ,Mason,Charting Maine's Future,Milwaukee,WI,"Millercoors, Llc",Business,,,10/9/15
$500 ,Mason,Charting Maine's Future,St. Louis,MO,"Express Scripts, Inc.",Business,,,10/30/15
$500 ,Mason,Charting Maine's Future,Houston,TX,"Spectra Energy Transmission, Llc",Business,,,10/30/15
$500 ,Mason,Charting Maine's Future,Houston,TX,Waste Management,Business,,,12/14/17
$500 ,Mason,Charting Maine's Future,Portsmouth,NH,"Ocean Properties, Ltd.",Business,,,7/27/15
$500 ,Mason,Charting Maine's Future,Augusta,ME,Nami Maine,Business,,,7/29/15
$500 ,Mason,Charting Maine's Future,Wilmington,DE,Astrazeneca,Business,,,8/10/15
$500 ,Mason,Charting Maine's Future,Pittsfield,ME,Cianbro,Business,,,8/11/15
$500 ,Mason,Charting Maine's Future,Bangor,ME,Emera,Business,,,8/13/15
$500 ,Mason,Charting Maine's Future,South Portland,ME,Fairpoint Communications,Business,,,8/14/17
$500 ,Mason,Charting Maine's Future,Boston,MA,Serlin Haley Llp,Business,,,8/17/17
$500 ,Mason,Charting Maine's Future,Portland,ME,Bernstein Shur,Business,,,8/31/17
$500 ,Mason,Charting Maine's Future,Fairfax,VA,Nra - Political Victory Fund,Business,,,10/3/14
$500 ,Mason,Charting Maine's Future,Louisville,KY,Churchill Downs,Business,,,10/9/14
$500 ,Mason,Charting Maine's Future,Augusta,ME,Maine Beer & Wine Wholesalers Association,Business,,,10/10/14
$500 ,Mason,Charting Maine's Future,Phoenix,AZ,"American Express Travel Related Services Company, Inc",Business,,,10/15/14
$500 ,Mason,Charting Maine's Future,Boston,MA,At&t,Business,,,11/2/11
$500 ,Mason,Charting Maine's Future,Portland,ME,Verrill Dana Llp,Business,,,8/27/12
$500 ,Mason,Charting Maine's Future,Boston,MA,Serlin Haley Llp,Business,,,8/17/15
$500 ,Mason,Charting Maine's Future,Washington,DC,American Chemistry Council,Business,,,8/18/15
$500 ,Mason,Charting Maine's Future,West Roxbury,MA,"Merck & Co., Inc.",Business,,,9/2/15
$500 ,Mason,Charting Maine's Future,Portland,ME,Bernstein Shur,Business,,,5/16/16
$500 ,Mason,Charting Maine's Future,Charlotte,NC,Time Warner Cable,Business,,,5/16/16
$500 ,Mason,Charting Maine's Future,Austin,TX,Visa U.S.A. Inc.,Business,,,9/22/16
$500 ,Mason,Charting Maine's Future,Portland,ME,Verrill Dana Llp,Business,,,9/26/16
$500 ,Mason,Charting Maine's Future,Littleton,CO,Summit Natural Gas Of Maine,Business,,,9/27/16
$500 ,Mason,Charting Maine's Future,Portland,ME,Drummond Woodsum & Macmahon,Business,,,10/14/16
$500 ,Mason,Charting Maine's Future,Herndon,VA,"K12 Management, Inc.",Business,,,10/17/16
$500 ,Mason,Charting Maine's Future,South Portland,ME,Spectrum Medical Group,Business,,,10/25/16
$500 ,Mason,Charting Maine's Future,Winston-salem,NC,Rai Services Company,Business,,,10/25/16
$500 ,Mason,Charting Maine's Future,Bangor,ME,Emera,Business,,,7/26/16
$500 ,Mason,Charting Maine's Future,Bangor,ME,The Tobin Company,Business,,,8/15/16
$500 ,Mason,Charting Maine's Future,Milwaukee,WI,"Millercoors, Llc",Business,,,8/26/16
$500 ,Mason,Charting Maine's Future,South Portland,ME,Spectrum Medical Group,Business,,,10/24/17
$500 ,Mason,Charting Maine's Future,St. Louis,MO,Charter Communications,Business,,,12/4/17
$500 ,Mason,Charting Maine's Future,Wilmington,DE,Astrazeneca,Business,,,8/6/14
$500 ,Mason,Charting Maine's Future,Camden,ME,"Reid & Associates, Llc",Business,,,8/12/14
$500 ,Mason,Charting Maine's Future,Columbia Falls,MT,Plum Creek,Business,,,1/4/16
$500 ,Mason,Charting Maine's Future,Winston-salem,NC,Rai Services Company,Business,,,1/4/16
$500 ,Mason,Charting Maine's Future,Charlotte,NC,Time Warner Cable,Business,,,7/6/16
$500 ,Mason,Charting Maine's Future,Norwalk,CT,Diageo,Business,,,10/1/13
$500 ,Mason,Charting Maine's Future,Portsmouth,NH,Macino Llc,Business,,,10/14/13
$500 ,Mason,Charting Maine's Future,Wilmington,DE,Astrazeneca,Business,,,10/22/13
$500 ,Mason,Charting Maine's Future,Hallowell,ME,Maine Beverage Association,Business,,,10/24/13
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Maine Real Estate & Development Association,Business,,,9/3/08
$500 ,Fredette,Leadership For Maine's Future,Harrisburg,PA,Rite Aid Headquarters Corp.,Business,,,9/3/08
$500 ,Fredette,Leadership For Maine's Future,Portland,ME,Pierce Atwood Llp,Business,,,9/5/08
$500 ,Fredette,Leadership For Maine's Future,Bangor,ME,Prudential Northeast Properties,Business,,,9/8/08
$500 ,Fredette,Leadership For Maine's Future,Augusta,ME,Maine Bankpac-state,Business,,,9/9/08
$500 ,Fredette,Leadership For Maine's Future,Bangor,ME,Dysart's Service,Business,,,10/22/09
$500 ,Fredette,Leadership For Maine's Future,South Portland,ME,Spectrum Medical Group,Business,,,10/22/09
$500 ,Fredette,Leadership For Maine's Future,Bentonville,AK,Walmart,Business,,CONTRIBUTION,11/1/16
$500 ,Fredette,Leadership For Maine's Future,Houston,TX,Waste Management,Business,,CONTRIBUTION,11/1/16
$500 ,Fredette,Leadership For Maine's Future,Houston,TX,"Spectra Energy Transmission, Llc",Business,,CONTRIBUTION,11/21/16
$500 ,Fredette,Leadership For Maine's Future,Rensselaer,NY,Retail Lumber Dealers Association Of Maine PAC,Business,,,9/18/08
$500 ,Fredette,Leadership For Maine's Future,Columbia Falls,MT,Plum Creek,Business,,,9/19/08
$500 ,Fredette,Leadership For Maine's Future,Augusta,ME,"Howe, Cahill & Company",Business,,,9/24/08
$500 ,Fredette,Leadership For Maine's Future,Bedminster,NJ,At&t,Business,,,9/25/08
$500 ,Fredette,Leadership For Maine's Future,Augusta,ME,Maine Bankpac-state,Business,,,9/25/08
$500 ,Fredette,Leadership For Maine's Future,Augusta,ME,Abc PAC,Business,,,9/29/08
$500 ,Fredette,Leadership For Maine's Future,Augusta,ME,Friends Of Maine Hospitals,Business,,,10/3/08
$500 ,Fredette,Leadership For Maine's Future,Madison,NJ,Wyeth Good Government Fund,Business,,,10/6/08
$500 ,Fredette,Leadership For Maine's Future,Washington,DC,"The Stember Group, Llc",Business,,,10/9/08
