Amount,Candidate or committee,Candidate,Recipient,Type of contribution,Date,Employer,Occupation,Purpose,Source
"$1,021 ",Fredette,Fredette Kenneth W,Kenneth W Fredette,Self-financing,6/10/98,,Attorney,,National Institute on Money in State Politics
$424 ,Fredette,Fredette Kenneth W,Kenneth W Fredette,Self-financing,7/14/98,,Attorney,,National Institute on Money in State Politics
$25 ,Fredette,Fredette Kenneth W,"Bush, George W",Personal,8/11/98,,,,National Institute on Money in State Politics
$50 ,Fredette,Fredette Kenneth W,"Mitchell, Betty Lou",Personal,9/18/98,Ken Fredette Attorney At Law,,,National Institute on Money in State Politics
"$1,250 ",Fredette,Fredette Kenneth W,Maine Republican Party,Personal,6/13/00,,,,National Institute on Money in State Politics
$50 ,Fredette,Fredette Kenneth W,"Mitchell, Betty Lou",Personal,6/15/00,,Attorney,,National Institute on Money in State Politics
$100 ,Fredette,Fredette Kenneth W,Joshua A Tardy,Personal,9/12/02,Newport,Attorney,,National Institute on Money in State Politics
$100 ,Fredette,Fredette Kenneth W,Kenneth W Fredette,Self-financing,1/17/06,,,,National Institute on Money in State Politics
$200 ,Fredette,Fredette Kenneth W,Leadership For Maine's Future,Personal,9/25/08,Law Offices Of Kenneth W. Fredette,Attorney,Monetary (Itemized),Maine Ethics Commission
$25 ,Fredette,Fredette Kenneth W,"Jindal, Bobby",Personal,4/16/09,,,,National Institute on Money in State Politics
$20 ,Fredette,Fredette Kenneth W,Kenneth W Fredette,Self-financing,3/24/10,,,,National Institute on Money in State Politics
($600),Fredette,Fredette Kenneth W,Kenneth W Fredette,Self-financing,7/4/12,,,,National Institute on Money in State Politics
$600 ,Fredette,Fredette Kenneth W,Kenneth W Fredette,Self-financing,7/4/12,,,,National Institute on Money in State Politics
$350 ,Fredette,Fredette Kenneth W,Maine Credit Union League - Legislative Action Committee,Personal,11/7/13,Self Employed,Attorney/legal,Monetary (Itemized),Maine Ethics Commission
$375 ,Fredette,Fredette Kenneth W,Frances M Head,Personal,8/8/14,Self-employed,Attorney/legal,Monetary (Itemized),National Institute on Money in State Politics
$375 ,Fredette,Fredette Kenneth W,David G Haggan,Personal,10/31/16,Self,Attorney/legal; Legislator,FREDETTE FOR THE HOUSE ACCOUNT,National Institute on Money in State Politics
$350 ,Charting Maines Future,MASON GARRETT PAUL,Republican Majority Fund,PAC,10/21/11,,,,Maine Ethics Commission
