School year,District,Regular instruction (per student),Regular Instruction,Other instruction (per student),Other Instruction,Transp & Buses (per student),Transp & Buses,Debt Service (per student),Debt Service,Facilities Maintenance (per student),Facilities Maintenance,School Admin (per student),School Admin,Special Ed Instruction (per student),Special Ed Instruction,Student & Staff support (per student),Student & Staff support,System Admin (per student),System Admin,Vocational Ed Instruction (per student),Vocational Ed Instruction,All Other (per student),All Other,Total expenses per pupil
2007-08,Baileyville Public Schools,"$3,061","$869,347",$637,"$180,769",$355,"$100,894",,,"$1,856","$526,955","$1,242","$352,627","$1,389","$394,502","$1,218","$345,842",$548,"$155,532",,,,,"$10,306"
2008-09,Baileyville Public Schools,"$2,735","$745,265",$500,"$136,187",$379,"$103,260",,,"$2,061","$561,511","$1,386","$377,554","$1,310","$356,877","$1,339","$364,917",$520,"$141,712",,,$551,"$150,068","$10,781"
2009-10,Baileyville Public Schools,"$2,866","$740,969",$558,"$144,109",$410,"$106,098",,,"$2,119","$547,716","$1,409","$364,269","$1,314","$339,730","$1,377","$355,982",$12,"$3,135",,,,,"$10,065"
2010-11,Baileyville Public Schools,"$2,828","$692,779",$522,"$127,819",$445,"$109,087",,,"$1,772","$434,069","$1,516","$371,467",$520,"$127,371","$1,507","$369,120",$553,"$135,560",,,$431,"$105,670","$10,094"
2011-12,Baileyville Public Schools,"$2,520","$618,719",$557,"$136,670",$510,"$125,183",,,"$2,086","$512,096","$1,731","$425,031","$1,099","$269,716","$1,610","$395,129",$496,"$121,844",,,$471,"$115,561","$11,080"
2012-13,Baileyville Public Schools,"$3,702","$857,050",$617,"$142,899",$495,"$114,538",,,"$1,960","$453,826","$1,505","$348,389","$1,320","$305,643","$1,543","$357,188",$519,"$120,109",,,$238,"$55,000","$11,899"
2013-14,Baileyville Public Schools,"$3,477","$784,068",$586,"$132,156",$434,"$97,749",,,"$2,264","$510,446","$1,453","$327,704","$1,234","$278,324","$1,628","$367,172",$563,"$126,940",,,$155,"$35,000","$11,794"
2014-15,Baileyville Public Schools,"$3,569","$829,738",$608,"$141,387",$441,"$102,587",,,"$2,216","$515,168","$1,042","$242,319","$1,295","$300,986","$1,279","$297,315",$527,"$122,512",,,$393,"$91,350","$11,370"
2003-04,Bancroft Public Schools,"$5,575","$86,413",,,$212,"$3,289",,,,,,,"$1,645","$25,497",,,$825,"$12,782",$248,"$3,846",,,"$8,505"
2004-05,Bancroft Public Schools,"$4,814","$64,988",,,$241,"$3,259",,,,,,,"$2,423","$32,709",,,"$1,058","$14,289",$482,"$6,501",,,"$9,018"
2005-06,Bancroft Public Schools,"$6,242","$62,415",,,$283,"$2,828",,,,,,,"$2,722","$27,224",,,"$1,529","$15,291",$577,"$5,765",,,"$11,353"
2006-07,Bancroft Public Schools,"$7,687","$69,179",,,$467,"$4,201",,,,,,,"$2,674","$24,067",,,"$1,765","$15,883",$443,"$3,984",,,"$13,036"
2007-08,Bancroft Public Schools,"$6,880","$65,364",,,$225,"$2,136",,,,,,,"$2,731","$25,948",,,"$1,685","$16,004",$342,"$3,253",,,"$11,863"
2008-09,Bancroft Public Schools,"$8,025","$84,258",,,$360,"$3,780",,,,,,,"$1,670","$17,538",,,"$1,969","$20,675",$273,"$2,865",,,"$12,297"
2009-10,Bancroft Public Schools,"$7,714","$88,712",,,$524,"$6,021",,,,,,,"$1,746","$20,083",,,"$1,454","$16,717",$335,"$3,851",,,"$11,773"
2010-11,Bancroft Public Schools,"$7,488","$48,673",,,$667,"$4,333",,,,,,,"$3,740","$24,308",,,"$2,317","$15,059",$702,"$4,566",,,"$14,914"
2011-12,Bancroft Public Schools,"$7,839","$78,392",,,$691,"$6,912",,,,,,,"$3,386","$33,858",,,$708,"$7,084",$398,"$3,980",,,"$13,022"
